Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,17950720786.7649,14753410786.7649,551,3197310,18942285,6672533,3197310,9072442,0.352256,0,0,0,1
2,17986068932.7362,14713791932.7362,552,3272277,18942285,6637736,3272277,9032272,0.350419,0,0,0,1
3,18011447055.2175,14816558055.2175,546,3194889,18942285,6610178,3194889,9137218,0.348964,0,0,0,1
4,17573338396.3679,14802100396.3679,548,2771238,18942285,6866351,2771238,9304696,0.362488,0,0,0,1
5,17904583054.7619,14774248054.7619,548,3130335,18942285,6691596,3130335,9120354,0.353262,0,0,0,1
6,17767973295.419,14802368295.419,546,2965605,18942285,6733972,2965605,9242708,0.355499,0,0,0,1
7,17874905496.4299,14815949496.4299,552,3058956,18942285,6737826,3058956,9145503,0.355703,0,0,0,1
8,17884743465.5509,14720286465.551,543,3164457,18942285,6603824,3164457,9174004,0.348629,0,0,0,1
9,17825184356.1289,14713803356.1289,546,3111381,18942285,6642816,3111381,9188088,0.350687,0,0,0,1
10,17858360983.5406,14689191983.5406,546,3169169,18942285,6628301,3169169,9144815,0.349921,0,0,0,1
11,17859730873.4675,14703426873.4675,544,3156304,18942285,6605611,3156304,9180370,0.348723,0,0,0,1
12,18068194744.3899,14843826744.3899,549,3224368,18942285,6643094,3224368,9074823,0.350702,0,0,0,1
13,17870583528.2242,14685015528.2242,547,3185568,18942285,6617752,3185568,9138965,0.349364,0,0,0,1
14,17963846604.0199,14703387604.0199,542,3260459,18942285,6523754,3260459,9158072,0.344402,0,0,0,1
15,17861757394.0419,14787172394.0419,552,3074585,18942285,6721700,3074585,9146000,0.354852,0,0,0,1
16,17969425004.0925,14779106004.0925,550,3190319,18942285,6684441,3190319,9067525,0.352885,0,0,0,1
17,17682980434.3629,14725376434.3629,544,2957604,18942285,6716275,2957604,9268406,0.354565,0,0,0,1
18,17975034629.0729,14718244629.0729,546,3256790,18942285,6582381,3256790,9103114,0.347497,0,0,0,1
19,17902899433.228,14772217433.2279,548,3130682,18942285,6664973,3130682,9146630,0.351857,0,0,0,1
20,17930098848.609,14780177848.609,545,3149921,18942285,6632968,3149921,9159396,0.350167,0,0,0,1
21,17876342042.2349,14869242042.2349,547,3007100,18942285,6729438,3007100,9205747,0.35526,0,0,0,1
22,17980052123.214,14738686123.2139,547,3241366,18942285,6612889,3241366,9088030,0.349107,0,0,0,1
23,17963720823.723,14769073823.723,543,3194647,18942285,6590591,3194647,9157047,0.34793,0,0,0,1
24,17716397793.6356,14710107793.6356,543,3006290,18942285,6665565,3006290,9270430,0.351888,0,0,0,1
25,17944330117.2066,14690945117.2066,548,3253385,18942285,6622071,3253385,9066829,0.349592,0,0,0,1
26,17827990798.7133,14786230798.7133,548,3041760,18942285,6708672,3041760,9191853,0.354164,0,0,0,1
27,17883817385.7864,14779274385.7864,546,3104543,18942285,6685114,3104543,9152628,0.35292,0,0,0,1
28,17835571409.4419,14673256409.4419,547,3162315,18942285,6640213,3162315,9139757,0.35055,0,0,0,1
29,17750326507.2949,14815027507.2949,549,2935299,18942285,6775279,2935299,9231707,0.35768,0,0,0,1
30,17700750138.1879,14796444138.1879,548,2904306,18942285,6790327,2904306,9247652,0.358475,0,0,0,1
31,17600449807.2186,14685700807.2185,545,2914749,18942285,6731322,2914749,9296214,0.35536,0,0,0,1
32,17823794060.403,14887215060.403,548,2936579,18942285,6790264,2936579,9215442,0.358471,0,0,0,1
33,17811444599.164,14788699599.164,548,3022745,18942285,6763068,3022745,9156472,0.357035,0,0,0,1
34,17821017439.1506,14674312439.1506,544,3146705,18942285,6612937,3146705,9182643,0.34911,0,0,0,1
35,17756795459.5296,14852616459.5296,547,2904179,18942285,6763213,2904179,9274893,0.357043,0,0,0,1
36,17758880637.8942,14767594637.8942,548,2991286,18942285,6744279,2991286,9206720,0.356044,0,0,0,1
37,17728136985.7199,14859651985.7199,549,2868485,18942285,6836587,2868485,9237213,0.360917,0,0,0,1
38,17794527383.7505,14826520383.7505,547,2968007,18942285,6729127,2968007,9245151,0.355244,0,0,0,1
39,17735894291.5719,14817266291.5719,546,2918628,18942285,6766762,2918628,9256895,0.357231,0,0,0,1
40,17906168767.3589,14650135767.3589,545,3256033,18942285,6560592,3256033,9125660,0.346346,0,0,0,1
41,17672846847.638,14668790197.9375,547,3002772,18942285,6687094,3002772,9252419,0.353025,1284649.700445,74010.94482,1,0.999875
42,18057898370.4579,14667346370.4579,546,3390552,18942285,6500796,3390552,9050937,0.34319,0,0,0,1
43,17816131106.462,14734202106.462,546,3081929,18942285,6679906,3081929,9180450,0.352645,0,0,0,1
44,17784171982.7979,14758728982.7979,545,3025443,18942285,6699642,3025443,9217200,0.353687,0,0,0,1
45,17832448830.4291,14714101830.4291,545,3118347,18942285,6632859,3118347,9191079,0.350162,0,0,0,1
46,17810856742.6735,14729895742.6735,551,3080961,18942285,6749344,3080961,9111980,0.356311,0,0,0,1
47,17795006971.4915,14668805971.4915,542,3126201,18942285,6586018,3126201,9230066,0.347689,0,0,0,1
48,17973320306.2769,14847866306.2769,546,3125454,18942285,6670399,3125454,9146432,0.352143,0,0,0,1
49,17959449252.7154,14746430942.7075,553,3209541,18942285,6664777,3209541,9067967,0.351847,3477310.007815,252377.846436,1,0.999893
50,17796715974.5129,14810654974.5129,545,2986061,18942285,6723481,2986061,9232743,0.354946,0,0,0,1
51,17790576142.4455,14820539142.4455,549,2970037,18942285,6769969,2970037,9202279,0.3574,0,0,0,1
52,17720460528.466,14774338528.466,543,2946122,18942285,6723075,2946122,9273088,0.354924,0,0,0,1
53,17769561170.2729,14764397170.2729,544,3005164,18942285,6701490,3005164,9235631,0.353785,0,0,0,1
54,17829550026.9195,14795877026.9195,553,3033673,18942285,6744928,3033673,9163684,0.356078,0,0,0,1
55,17917055082.716,14843890082.7159,547,3073165,18942285,6723623,3073165,9145497,0.354953,0,0,0,1
56,17784002957.3941,14766338957.3941,549,3017664,18942285,6727002,3017664,9197619,0.355131,0,0,0,1
57,17875143866.5669,14788880866.5669,542,3086263,18942285,6631743,3086263,9224279,0.350103,0,0,0,1
58,17930122278.16,14840015278.1599,545,3090107,18942285,6674840,3090107,9177338,0.352378,0,0,0,1
59,17853705966.9395,14839817966.9395,550,3013888,18942285,6759479,3013888,9168918,0.356846,0,0,0,1
60,17809533517.4319,14826829517.4319,547,2982704,18942285,6734761,2982704,9224820,0.355541,0,0,0,1
61,17769059025.174,14737503025.1739,541,3031556,18942285,6633977,3031556,9276752,0.350221,0,0,0,1
62,17924625976.742,14841866976.742,545,3082759,18942285,6653013,3082759,9206513,0.351225,0,0,0,1
63,17899820099.5968,14711041449.095,555,3188748,18942285,6707788,3188748,9045749,0.354117,30650.501798,3006.506973,1,1
64,17990265934.0859,14759876934.0859,546,3230389,18942285,6612203,3230389,9099693,0.349071,0,0,0,1
65,17681961355.2665,14783534355.2665,547,2898427,18942285,6778441,2898427,9265417,0.357847,0,0,0,1
66,17785727491.7589,14821158491.7589,545,2964569,18942285,6722375,2964569,9255341,0.354887,0,0,0,1
67,17812212734.2799,14711589734.2799,546,3100623,18942285,6682679,3100623,9158983,0.352792,0,0,0,1
68,17818154013.827,14759155013.8269,543,3058999,18942285,6657158,3058999,9226128,0.351444,0,0,0,1
69,17826078314.3125,14855811314.3125,551,2970267,18942285,6786535,2970267,9185483,0.358274,0,0,0,1
70,17737450545.7235,14795626545.7235,548,2941824,18942285,6746456,2941824,9254005,0.356159,0,0,0,1
71,18194844028.0679,14749498028.0679,545,3445346,18942285,6488574,3445346,9008365,0.342544,0,0,0,1
72,17933460806.6926,14830126806.6926,548,3103334,18942285,6667127,3103334,9171824,0.351971,0,0,0,1
73,17865652257.9952,14814909257.9952,548,3050743,18942285,6714935,3050743,9176607,0.354494,0,0,0,1
74,17753782201.9976,14756976201.9976,547,2996806,18942285,6713253,2996806,9232226,0.354406,0,0,0,1
75,17829566123.964,14699439123.964,545,3130127,18942285,6648421,3130127,9163737,0.350983,0,0,0,1
76,17862525285.943,14851549285.943,544,3010976,18942285,6683915,3010976,9247394,0.352857,0,0,0,1
77,17696334890.161,14778223890.161,543,2918111,18942285,6721915,2918111,9302259,0.354863,0,0,0,1
78,17831329437.7326,14769729437.7325,547,3061600,18942285,6703126,3061600,9177559,0.353871,0,0,0,1
79,17823894661.8829,14706091661.883,545,3117803,18942285,6630444,3117803,9194038,0.350034,0,0,0,1
80,17883174526.6939,14647228526.6939,543,3235946,18942285,6577489,3235946,9128850,0.347238,0,0,0,1
81,17947125091.5019,14824889091.5019,544,3122236,18942285,6636952,3122236,9183097,0.350378,0,0,0,1
82,17882702208.6529,14830310208.6529,547,3052392,18942285,6719962,3052392,9169931,0.35476,0,0,0,1
83,17997879953.893,14756332953.893,548,3241547,18942285,6621661,3241547,9079077,0.34957,0,0,0,1
84,17819994222.9492,14795484222.9492,544,3024510,18942285,6671984,3024510,9245791,0.352227,0,0,0,1
85,17700356904.6531,14741615453.7199,543,2952725,18942285,6708183,2952725,9281377,0.354138,6016450.93312,54039.321564,1,0.999947
86,17767887618.9049,14817006618.9049,549,2950881,18942285,6788753,2950881,9202651,0.358391,0,0,0,1
87,17716098299.365,14652862299.365,541,3063236,18942285,6621644,3063236,9257405,0.349569,0,0,0,1
88,17862609306.2829,14819529306.2829,550,3043080,18942285,6756058,3043080,9143147,0.356665,0,0,0,1
89,17721049184.4115,14904187184.4115,549,2816862,18942285,6809167,2816862,9316256,0.359469,0,0,0,1
90,17794970907.993,14785936907.9929,545,3009034,18942285,6708955,3009034,9224296,0.354179,0,0,0,1
91,17768843617.9477,14784182977.3505,547,2984479,18942285,6722168,2984479,9235638,0.354876,181640.597162,17817.121742,1,0.999999
92,17747310463.0079,14814144463.008,546,2933166,18942285,6768999,2933166,9240120,0.357349,0,0,0,1
93,17701680675.2419,14830847675.2419,546,2870833,18942285,6776904,2870833,9294548,0.357766,0,0,0,1
94,17759811071.0902,14748443071.0902,548,3011368,18942285,6702876,3011368,9228041,0.353858,0,0,0,1
95,17979525373.0972,14694211373.0972,547,3285314,18942285,6563623,3285314,9093348,0.346506,0,0,0,1
96,17761310472.2309,14717068472.231,548,3044242,18942285,6713461,3044242,9184582,0.354417,0,0,0,1
97,17940651827.0329,14772556827.0329,549,3168095,18942285,6678763,3168095,9095427,0.352585,0,0,0,1
98,17850213151.9129,14787383151.9129,543,3062830,18942285,6655562,3062830,9223893,0.35136,0,0,0,1
99,17960181422.0026,14737545422.0026,549,3222636,18942285,6644772,3222636,9074877,0.35079,0,0,0,1
100,17754971599.9719,14735193599.9719,546,3019778,18942285,6687184,3019778,9235323,0.353029,0,0,0,1
